_id,Country,TotalDeaths,Tweet Counts,Rate
5eaa1cc384f2ea0f14fef7d4,Tuvalu,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7d5,US Minor Outlying Islands,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7d6,Uganda,0,FALSE,6.527
5eaa1cc384f2ea0f14fef7f3,Vanuatu,0,FALSE,5.236
5eaa1cc384f2ea0f14fef7f5,Viet Nam,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7f6,"Virgin Islands, US",0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7f7,Wallis and Futuna Islands,0,FALSE,FALSE
5eaa1cc384f2ea0f14fef7f8,Western Sahara,0,FALSE,4.936
5eaa1cc384f2ea0f14fef7f9,Yemen,0,FALSE,5.991
5eaa1cc384f2ea0f14fef67c,Antarctica,0,5,FALSE
5eaa1cc384f2ea0f14fef76a,Rwanda,0,1,5.235
